Loading weights:   0%|          | 0/393 [00:00<?, ?it/s]Loading weights: 100%|██████████| 393/393 [00:00<00:00, 4666.95it/s]
Loading data from /data2/Medical/ColonMoE/TextMining/ViHERMES/dataset/dataset.jsonl...
Embedding 1550 unique context blocks (Dense Strategy)...
 -> Embedded 16/1550
 -> Embedded 416/1550
 -> Embedded 816/1550
 -> Embedded 1216/1550
Starting execution for 1561 samples (Method: dense)...
[DENSE] Sample 303/1561 | F1: 0.54 | J: 1 | Rec: 1
[DENSE] Sample 304/1561 | F1: 0.20 | J: 1 | Rec: 0
[DENSE] Sample 305/1561 | F1: 0.51 | J: 1 | Rec: 1
[DENSE] Sample 306/1561 | F1: 0.39 | J: 1 | Rec: 1
[DENSE] Sample 307/1561 | F1: 0.38 | J: 1 | Rec: 0
[DENSE] Sample 308/1561 | F1: 0.70 | J: 1 | Rec: 1
[DENSE] Sample 309/1561 | F1: 0.32 | J: 0 | Rec: 0
[DENSE] Sample 310/1561 | F1: 0.55 | J: 1 | Rec: 1
[DENSE] Sample 311/1561 | F1: 0.53 | J: 1 | Rec: 0
[DENSE] Sample 312/1561 | F1: 0.27 | J: 0 | Rec: 1
[DENSE] Sample 313/1561 | F1: 0.55 | J: 1 | Rec: 1
[DENSE] Sample 314/1561 | F1: 0.37 | J: 0 | Rec: 0
[DENSE] Sample 315/1561 | F1: 0.46 | J: 0 | Rec: 1
[DENSE] Sample 316/1561 | F1: 0.59 | J: 1 | Rec: 1
[DENSE] Sample 317/1561 | F1: 0.40 | J: 1 | Rec: 1
[DENSE] Sample 318/1561 | F1: 0.55 | J: 1 | Rec: 1
[DENSE] Sample 319/1561 | F1: 0.53 | J: 1 | Rec: 1
[DENSE] Sample 320/1561 | F1: 0.42 | J: 1 | Rec: 1
[DENSE] Sample 321/1561 | F1: 0.56 | J: 0 | Rec: 1
[DENSE] Sample 322/1561 | F1: 0.38 | J: 1 | Rec: 1
[DENSE] Sample 323/1561 | F1: 0.35 | J: 0 | Rec: 0
